atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
1928565103,1168011300,A02,A1,고/10,71000,153,74,남향,37.474159,127.107065,"SS 사진있음 SS 로얄층, 남향, 실입주가능,투자수익형가능.강력추천","['4년이내', '화장실두개', '대형평수']",DK공인중개사사무소
1928352376,1168011800,C02,A1,3/4,90000,135,88,,37.490651,127.037719,"전속.실27.전세안고.지하창고,주차가능","['25년이상', '대형평수', '방세개', '화장실두개']",헤브론공인중개사사무소
1928268427,1168010800,A02,A1,7/15,65000,146,79,남향,37.516791,127.040858,더블역세권 초역세권위치사무실매매,"['15년이내', '역세권', '대형평수']",sk공인중개사사무소
1928075688,1168010500,A02,A1,3/9,75000,137,85,남향,37.51145,127.048844,,"['15년이내', '역세권', '대형평수', '방세개']",건우공인중개사사무소
1928974832,1168010100,A01,A1,4/7,85000,151,103,,37.50153,127.034505,직접보유 역삼역3분 3억갭투자 올리모델링 대지지분13,"['25년이내', '역세권', '대형평수', '방네개이상']",한마음공인중개사사무소
1928884922,1168010100,A02,A1,7/20,90000,208,109,남향,37.508679,127.039412,역삼sk리더스뷰오피스텔,"['15년이내', '역세권', '화장실두개', '대형평수']",(주)세계로부동산중개법인
1928582830,1168010400,C02,A1,1/4,75000,143,96,남동향,37.522159,127.046575,입주가능한 청담동 넓은빌라 주차시설좋아요 ,"['15년이내', '1층', '대형평수', '방세개']",압구정열린공인중개사사무소
1928830356,1168011500,D01,A1,14/20,45000,158,79,남향,37.487327,127.103144,귀한 남향 대출이용 사옥마련 지하철수서역 SRT수서역직접연결,"['역세권', '주차가능', '엘리베이터', '인터폰']",부동산모닝공인중개사
1928813717,1168010400,C02,A1,1/4,75000,143,96,남동향,37.522159,127.046575,청담동 실입주 가능한 넓은 쓰리룸 빌라매매,"['15년이내', '1층', '대형평수', '방세개']",주식회사안부동산중개법인
1928801627,1168011200,E03,A1,-,90000,992,0,,37.479859,127.101772,대모산자락 자곡마을인근 전,[],뉴월드공인중개사사무소
